,status,material_id,time
0,E,mp-10018,0.12392783164978027
1,E,mp-1211359,5.6972925662994385
2,,mp-1209679,0.7898707389831543
3,,mp-1020059,0.6207330226898193
4,,mp-1189429,1.2058472633361816
5,,mp-756309,2.5576894283294678
6,,mp-1220565,1.1298701763153076
7,E,mp-38816,0.6338479518890381
8,,mp-10867,0.2673037052154541
9,E,mp-4195,0.24161529541015625
10,,mp-1273854,4.361690044403076
11,,mp-1224805,0.4239342212677002
12,,mp-676762,1.7660038471221924
13,E,mp-1102240,1.4597513675689697
14,,mp-1113559,0.5221266746520996
15,,mp-19376,1.7202625274658203
16,,mp-10091,1.2739934921264648
17,E,mp-6509,1.8570818901062012
18,,mp-975522,0.19177842140197754
19,E,mp-1225893,0.14964008331298828
20,,mp-862832,0.187391996383667
26747,E,mp-611836,0.011747121810913086
5457,E,mp-22885,0.013471126556396484
42028,E,mp-571436,0.013492584228515625
18985,E,mp-29803,0.013640403747558594
30819,E,mp-1008394,0.013818025588989258
32786,E,mp-1223967,0.01675581932067871
16443,E,mp-30009,0.016971588134765625
9913,E,mp-22897,0.017312288284301758
20576,E,mp-570747,0.017778873443603516
2656,E,mp-23177,0.018254995346069336
43879,E,mp-1184859,0.01928544044494629
9989,E,mp-632229,0.01973867416381836
43911,E,mp-561203,0.01995396614074707
24192,E,mp-27726,0.020587921142578125
23539,E,mp-1078114,0.02169632911682129
36618,E,mp-850274,0.02202916145324707
35772,E,mp-22859,0.02248692512512207
32007,E,mp-1184879,0.022545337677001953
29115,E,mp-1180036,0.025600671768188477
19706,E,mp-632296,0.02628946304321289
40634,E,mp-25,0.02649092674255371
16097,E,mp-1009490,0.026597261428833008
38635,E,mp-551905,0.026623010635375977
25149,E,mp-1096986,0.026787757873535156
11993,E,mp-1223974,0.027443885803222656
18250,E,mp-973783,0.02866363525390625
38158,E,mp-1102919,0.028667449951171875
38704,E,mp-28406,0.029468536376953125
32661,E,mp-632172,0.030652284622192383
22949,E,mp-1223753,0.03165888786315918
37324,E,mp-1167,0.03281545639038086
23798,E,mp-1189731,0.03327488899230957
13682,E,mp-28722,0.0334315299987793
31552,E,mp-29443,0.03345155715942383
23892,E,mp-644607,0.03367495536804199
8201,E,mp-23292,0.03390669822692871
35438,E,mp-571518,0.03573799133300781
44908,E,mp-22966,0.03694558143615723
13007,E,mp-684609,0.0381162166595459
14806,E,mp-672233,0.04049086570739746
28081,E,mp-1103091,0.04080820083618164
20805,E,mp-1025168,0.04153013229370117
21394,E,mp-30106,0.041889190673828125
23039,E,mp-1771,0.042585134506225586
24485,E,mp-1182086,0.04403424263000488
5166,E,mp-23189,0.04403567314147949
37138,E,mp-9816,0.044072866439819336
27008,E,mp-33218,0.0460658073425293
6752,E,mp-972825,0.046716928482055664
21122,E,mp-1818,0.0470280647277832
243,E,mp-1066989,0.047753095626831055
33850,E,mp-24504,0.047826528549194336
13829,E,mp-23184,0.04807901382446289
25990,E,mp-32684,0.04853630065917969
20764,E,mvc-13941,0.04950118064880371
34132,E,mp-632291,0.04955768585205078
35697,E,mp-1183269,0.05018115043640137
29498,E,mp-1077906,0.05076026916503906
